,GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Nstar_rh,pmra_rh,pmdec_rh,Nstar_2rh,pmra_2rh,pmdec_2rh,Nbg_per_deg2,rh_deg,Nstar_per_rhdeg3
0,Antlia2,143.8868,-36.7673,132000.0,76.2,116512,-4.818529301725212,2.4017648791435646,460159,-4.858202815686243,2.4336587569639287,22606.53428759814,1.27,56879.98777572357
1,Aquarius2,338.4813,-9.3274,107900.0,5.1,81,2.0856726522233626,-6.699704631240393,288,3.384034743017077,-6.609563926957766,3039.914483969766,0.08499999999999999,131894.97252188076
2,Bootes(I),210.025,14.5,66374.30704019089,12.6,459,-6.039801045157512,-5.199918606460433,1494,-6.46294639965598,-6.390014364906859,2490.1793817099274,0.21,49562.68221574345
3,Bootes3,209.25,26.8,46000.0,90.0,13807,-7.528199441202586,-6.608044852021403,60218,-7.310066337234213,-6.212074481532514,2188.604463359394,1.5,4090.962962962963
4,BootesII,209.5,12.85,41686.93834703355,4.2,61,-11.699557759011935,-7.644268386523791,192,-9.864402447405261,-9.103472359847817,2836.6391217739165,0.07,177842.5655976676
5,CanesVenatici(I),202.0145833333333,33.55583333333333,217770.97723531595,8.9,207,-3.595353458783151,-5.486002960563624,608,-4.404447848468046,-5.98073615497897,1933.7295446489086,0.14833333333333334,63424.06545536043
6,CanesVenaticiII,194.29166666666663,34.32083333333334,159955.8028614668,1.6,21,-2.0389518398193296,-0.17574812385046423,30,-2.522364283513888,-3.4153172263837512,1342.8698323378667,0.02666666666666667,1107421.8749999998
7,Carina,100.40291666666668,-50.966111111111104,105196.18738232234,8.2,1263,0.39858519162658224,1.6943397779091631,3288,0.31382846941345216,2.2893012792837495,11503.465547689046,0.13666666666666666,494783.88299647433
8,Carina2,114.1066,-57.9991,36200.0,8.69,614,-2.06426303806643,5.20933473006648,2617,-1.889930943668935,5.257359478787045,10131.477160914817,0.14483333333333331,202098.36170114513
9,Carina3,114.6298,-57.8997,27800.0,3.75,132,-1.3722646794118452,3.6597071644616004,535,-1.5925746173485313,5.004971953672583,10946.464779269772,0.0625,540672.0
